statue,statueLabel,statueType,statueTypeLabel,height,creationYear,countryLabel,materialLabel
http://www.wikidata.org/entity/Q11850682,Памятник Александру II,http://www.wikidata.org/entity/Q179700,статуя,10.67,1894,Финляндия,гранит
http://www.wikidata.org/entity/Q4343988,Памятник Паниковскому,http://www.wikidata.org/entity/Q860861,скульптура,197,1998,Украина,бронза
http://www.wikidata.org/entity/Q11850682,Памятник Александру II,http://www.wikidata.org/entity/Q179700,статуя,10.67,1894,Финляндия,бронза
http://www.wikidata.org/entity/Q4668997,Abraham Lincoln: The Man,http://www.wikidata.org/entity/Q15709879,серия произведений искусства,370,1887,США,бронза
http://www.wikidata.org/entity/Q16271001,Памятник Ленину (Элиста),http://www.wikidata.org/entity/Q1081138,памятник истории,9.95,1970,Россия,бронза
http://www.wikidata.org/entity/Q16370033,Памятник Аветику Исаакяну,http://www.wikidata.org/entity/Q860861,скульптура,4.5,1960,Армения,декоративный гранит
http://www.wikidata.org/entity/Q21704581,Statue of Božena Němcová at Slovanský ostrov,http://www.wikidata.org/entity/Q5003624,мемориал,270,1901,Чехия,бронза
http://www.wikidata.org/entity/Q21704581,Statue of Božena Němcová at Slovanský ostrov,http://www.wikidata.org/entity/Q5003624,мемориал,270,1955,Чехия,бронза
http://www.wikidata.org/entity/Q3683526,Washington Monument,http://www.wikidata.org/entity/Q860861,скульптура,15,1829,США,мрамор
http://www.wikidata.org/entity/Q4343622,Памятник шоколаду,http://www.wikidata.org/entity/Q860861,скульптура,3,2009,Россия,бронза
http://www.wikidata.org/entity/Q4427943,Соловецкий камень (Санкт-Петербург),http://www.wikidata.org/entity/Q11734477,мемориальный камень,2.25,1990,Россия,гранит
http://www.wikidata.org/entity/Q16366507,Памятник Александру Таманяну,http://www.wikidata.org/entity/Q860861,скульптура,3,1974,Армения,декоративный гранит
http://www.wikidata.org/entity/Q3683526,Washington Monument,http://www.wikidata.org/entity/Q860861,скульптура,165,1829,США,мрамор
http://www.wikidata.org/entity/Q12138490,Памятник участникам январского вооруженного восстания 1918 года,http://www.wikidata.org/entity/Q2065736,культурная ценность,4,1967,Украина,гранит
http://www.wikidata.org/entity/Q12138490,Памятник участникам январского вооруженного восстания 1918 года,http://www.wikidata.org/entity/Q2065736,культурная ценность,4,1967,Украина,бронза
http://www.wikidata.org/entity/Q12910626,Monument of Iustinianus I,http://www.wikidata.org/entity/Q860861,скульптура,5,2011,Северная Македония,мрамор
http://www.wikidata.org/entity/Q16364244,скульптура «Девушка из Вана»,http://www.wikidata.org/entity/Q860861,скульптура,2,1975,Армения,шамот
http://www.wikidata.org/entity/Q12910626,Monument of Iustinianus I,http://www.wikidata.org/entity/Q860861,скульптура,5,2011,Северная Македония,бронза
http://www.wikidata.org/entity/Q16364244,скульптура «Девушка из Вана»,http://www.wikidata.org/entity/Q860861,скульптура,2,1975,Армения,базальт
http://www.wikidata.org/entity/Q16375695,памятник Гайку Бжишкяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,12.5,1974,Армения,гранит
http://www.wikidata.org/entity/Q16375695,памятник Гайку Бжишкяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,12.5,1977,Армения,гранит
http://www.wikidata.org/entity/Q16375695,памятник Гайку Бжишкяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,12.5,1974,Армения,базальт
http://www.wikidata.org/entity/Q16375695,памятник Гайку Бжишкяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,12.5,1977,Армения,базальт
http://www.wikidata.org/entity/Q16375695,памятник Гайку Бжишкяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,12.5,1974,Армения,бронза
http://www.wikidata.org/entity/Q16375695,памятник Гайку Бжишкяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,12.5,1977,Армения,бронза
http://www.wikidata.org/entity/Q3862634,Monument to Vittorio Emanuele II,http://www.wikidata.org/entity/Q860861,скульптура,39,1880,Италия,бронза
